RECEPTOR_LIGAND,pIC50,     ESTAT,    HB,    VDW,    DSOLV
    3pm0_ab_229_BC,8.13667713987955,0.1154,-0.0005,-13.7249,1.7554
    3pm0_ab_230_BC,7.82973828460504,0.0769,-1.0273,-12.7896,1.7407
    3pm0_ab_231_BC,9.2839966563652,0.0319,-0.0017,-14.1778,2.0997
    3pm0_ab_232_BC,8.38721614328026,0.0138,-0.0016,-14.3986,1.9283
    3pm0_ab_233_BC,8.3767507096021,0.0468,-0.0016,-13.8942,1.4545
    3pm0_ab_234_BC,8.2518119729938,-0.0014,-0.0023,-13.2062,2.0861
    3pm0_ab_235_BC,8.29242982390206,-0.0102,-0.5967,-15.306,2.5556
    3pm0_ab_236_BC,8.49485002168009,0.0195,-0.5782,-14.1206,1.7969
    3pm0_ab_237_BC,7.31515463835559,0.1488,-0.0005,-14.7658,1.3125
    3pm0_ab_238_BC,7.19517932127884,-0.3935,-0.0001,-13.4523,2.5381
    3pm0_ab_239_BC,7.60906489289662,-0.0586,-0.0021,-16.4747,2.5114
    3pm0_ab_240_BC,7.32148162095989,-0.4093,-0.0002,-13.7734,2.6092
    3pm0_ab_241_BC,8.69897000433602,0.0099,-0.0019,-16.0825,2.2734
    3pm0_ab_242_BC,8.45593195564972,0.0193,-0.0018,-12.776,1.8743
    3pm0_ab_243_BC,8.20760831050175,0.1241,-0.584,-12.0938,1.5677
    3pm0_ab_244_BC,8.03151705144606,0.0079,-0.0018,-12.8235,1.9604
    3pm0_ab_245_BC,8.38721614328026,-0.0049,-0.0016,-15.4853,2.5152
    3pm0_ab_246_BC,8.85387196432176,-0.0499,-0.1758,-15.8545,2.997
    3pm0_ab_247_BC,9.39794000867204,-0.0178,-0.0271,-15.9607,2.8915
    3pm0_ab_248_BC,8.67778070526608,-0.0927,-0.0805,-16.6207,3.2591
    3pm0_ab_249_BC,5,-0.0121,-0.8534,-13.5798,2.5799
    3pm0_ab_250_BC,5,-0.0406,-0.9754,-15.2381,2.4648
    3pm0_ab_251_BC,5,-0.0562,-0.9279,-15.9806,2.3086
    3pm0_ab_252_BC,5,-0.0737,-0.0039,-17.2579,2.2198
    3pm0_ab_257_BC,8.74472749489669,0.0071,-0.0016,-15.4339,2.4943
    3pm0_ab_258_BC,8.67778070526608,-0.0071,-0.0068,-15.7945,2.8746
    3pm0_ab_259_BC,8.82390874094432,0.0832,-0.003,-16.684,2.8189
    3pm0_ab_260_BC,7.94309514866353,-0.0608,-0.591,-17.8338,3.0246
    3pm0_ab_283_BC,9.02227639471115,0.0239,-0.1217,-8.8998,2.4853
    3pm0_ab_284_BC,7.80687540164554,-0.0052,-0.0755,-4.1218,2.7518
    3pm0_ab_285_BC,8.69897000433602,-0.0004,-0.2234,-6.9383,2.5951
    3pm0_ab_288_BC,6.72262002533275,0.0615,-0.0041,-13.1098,2.9805
    3pm0_ab_289_BC,8.38721614328026,-0.0722,-0.5372,-11.6119,2.4911
    3pm0_ab_290_BC,9.06048074738138,-0.0112,-0.0613,-11.0871,2.7502
    3pm0_ab_291_BC,8.92081875395238,-0.0032,-0.0055,-10.9328,2.765
    3pm0_ab_292_BC,8.31875876262441,-0.0234,-0.0156,-10.6462,2.3498
    3pm0_ab_293_BC,8.58502665202918,-0.0214,-0.0162,-10.8924,2.7723
    3pm0_ab_294_BC,8.69897000433602,0.0007,-0.0293,-11.3079,2.8157
    3pm0_ab_295_BC,9,-0.0274,-0.031,-10.6901,2.8447
    3pm0_ab_296_BC,9.00877392430751,-0.1161,-0.0166,-9.1709,3.0714
    3pm0_ab_297_BC,8.95860731484177,0.0082,-0.0528,-5.5415,2.8331
    3pm0_ab_298_BC,8.88605664769316,-0.0771,-0.015,-7.9881,2.6524
    3pm0_ab_299_BC,7.64016451766011,-0.0724,-0.0181,-9.273,3.387
    3pm0_ab_300_BC,7.52143350440616,-0.1253,-0.2347,-6.7049,4.3697
    3pm0_ab_301_BC,7.98716277529483,-0.0909,-0.0177,-9.4451,3.361
    3pm0_ab_302_BC,9.00877392430751,0.0974,-1.0269,-7.635,3.6209
    3pm0_ab_303_BC,6.18157614490792,0.008,-0.6092,-8.9075,3.4517
    3pm0_ab_304_BC,6,0.0233,-0.3031,-11.2405,3.3128
    3pm0_ab_305_BC,6.75646589816794,0.0156,-0.495,-11.1809,3.3512
    3pm0_ab_306_BC,7.1944991418416,-0.0989,-0.0218,-8.6965,2.6558
    3pm0_ab_307_BC,8.92081875395238,0.0298,-0.0095,-9.1776,2.8773
    3pm0_ab_308_BC,9.03151705144606,-0.053,-0.0193,-8.8173,2.9812
    3pm0_ab_309_BC,8.95860731484177,0.002,-0.0578,-7.1738,2.8041
    3pm0_ab_310_BC,9.33724216831843,0.0718,-0.0283,-7.6569,2.7959
    3pm0_ab_311_BC,7.21112488422458,-0.0465,-0.0168,-8.2351,3.2722
    3pm0_ab_312_BC,7.68613277963085,-0.0325,-0.0186,-8.2678,3.3595
    3pm0_ab_313_BC,7.60554831917378,0.0543,-0.5904,-9.9752,3.0167
    3pm0_ab_314_BC,9.22184874961636,0.0129,-0.0117,-9.8292,2.7095
    3pm0_ab_315_BC,8.18708664335714,-0.0923,-0.0202,-9.3236,3.2313
    3pm0_ab_316_BC,8.11350927482752,-0.1035,-0.0158,-9.621,3.1605
    3pm0_ab_317_BC,8.92081875395238,-0.0759,-0.0161,-9.203,2.4787
    3pm0_ab_318_BC,9.42021640338319,-0.051,-0.0059,-9.411,2.8636
    3pm0_ab_319_BC,9.52287874528034,-0.1137,-0.017,-9.1006,2.6363
    3pm0_ab_320_BC,9.85387196432176,-0.0047,-0.1093,-5.3862,2.7865
    3pm0_ab_321_BC,9.07572071393812,-0.1338,-0.0131,-9.1759,2.7217
    3pm0_ab_322_BC,10.1549019599857,0.1692,-0.0165,-9.2069,3.1777
    3pm0_ab_323_BC,8.88605664769316,0.0013,-0.1243,-2.95,2.7346
    3pm0_ab_324_BC,8.22184874961636,0.0618,-0.8562,-6.8466,3.5617
    3pm0_ab_356_BC,7.82390874094432,0.0233,-0.0003,-13.2049,0.8655
    3pm0_ab_361_BC,4.44369749923271,-0.0318,-0.4038,-12.0472,1.3476
    3pm0_ab_362_BC,4.55284196865778,-0.0522,-0.0147,-12.1094,1.2851
    3pm0_ab_363_BC,3.82681373158773,-0.0489,-0.0116,-12.0359,1.2895
    3pm0_ab_364_BC,6,-0.3146,-3.126,-2.4428,4.6593
    3pm0_ab_365_BC,6.22914798835786,0.0635,-1.2359,-11.7745,2.6089
    3pm0_ab_366_BC,7.25963731050576,-0.0135,-0.5987,-12.5474,1.2604
    3pm0_ab_367_BC,7.07572071393812,-0.0247,-0.5582,-13.5823,1.6431
    3pm0_ab_368_BC,6.95860731484177,-0.0656,-0.5003,-13.6519,1.6541
    3pm0_ab_369_BC,7.16115090926274,-0.0178,-0.5837,-12.4646,1.224
    3pm0_ab_370_BC,7.14874165128092,-0.0454,-0.135,-12.9381,1.2843
    3pm0_ab_371_BC,6.76955107862173,-0.0252,-0.602,-13.8187,2.5381
    3pm0_ab_372_BC,6.85387196432176,-0.0118,-0.594,-12.9437,1.5315
    3pm0_ab_373_BC,6.61978875828839,0.0181,-0.1033,-14.2005,2.035
    3pm0_ab_374_BC,7.09691001300806,0.0663,-0.5228,-14.36,3.08
    3pm0_ab_375_BC,6.79588001734408,0.0163,-0.5808,-14.8389,2.2527
    3pm0_ab_376_BC,6.85387196432176,-0.077,-0.004,-12.4721,1.9852
    3pm0_ab_377_BC,7.43179827593301,-0.0049,-0.5983,-13.3173,2.0313
    3pm0_ab_378_BC,7.04575749056068,-0.0123,-0.5703,-13.0465,1.577
    3pm0_ab_379_BC,6.92081875395238,-0.0064,-0.4626,-13.3321,1.5089
    3pm0_ab_380_BC,6.16115090926274,-0.0002,-0.0967,-11.0396,1.1169
    3pm0_ab_381_BC,6.48148606012211,-0.0096,-0.4934,-12.7239,1.4628
    3pm0_ab_388_BC,4.63827216398241,-0.2989,-1.3792,-9.9083,2.2566
    3pm0_ab_389_BC,5.04575749056068,-0.0915,-1.0872,-11.0087,2.3626
    3pm0_ab_390_BC,6,-0.0648,-1.3459,-10.2398,1.7682
    3pm0_ab_391_BC,4.46852108295774,-0.2617,-1.9654,-10.3662,2.4988
    3pm0_ab_392_BC,6.39794000867204,-0.0824,-0.931,-11.2532,1.8443
    3pm0_ab_393_BC,8.22184874961636,-0.0593,-0.575,-12.8252,1.9761
    3pm0_ab_394_BC,5.49485002168009,-0.159,-0.4317,-13.7929,2.6417
    3pm0_ab_395_BC,4.75448733218585,-0.0355,-0.3571,-12.5845,2.0642
    3pm0_ab_396_BC,8.69897000433602,-0.0833,-0.4658,-12.5377,1.9404
    3pm0_ab_397_BC,6.52287874528034,-0.0469,-0.557,-10.608,0.7065
    3pm0_ab_398_BC,5.95860731484177,-0.0967,-0.4719,-12.018,1.2826
    3pm0_ab_399_BC,6,-0.0518,-0.2616,-12.7317,1.6291
    3pm0_ab_400_BC,7,-0.0466,-1.4187,-11.1345,2.3865
    3pm0_ab_401_BC,8.52287874528034,-0.0583,-1.7545,-11.7469,2.9631
    3pm0_ab_402_BC,7.72124639904717,-0.1033,-1.4999,-12.9607,3.2113
    3pm0_ab_403_BC,8.15490195998574,-0.1271,-1.5218,-11.9096,2.8165
    3pm0_ab_404_BC,7.82390874094432,0.0267,-0.0017,-12.8934,1.5104
    3pm0_ab_405_BC,7.82390874094432,-0.011,-0.0085,-12.165,1.2257
    3pm0_ab_406_BC,7.43179827593301,0.0016,-0.0057,-12.726,1.9411
    3pm0_ab_407_BC,8.25963731050576,-0.032,-0.3801,-13.2062,2.5216
    3pm0_ab_408_BC,7.53760200210104,-0.0301,-0.0162,-12.0494,0.7554
    3pm0_ab_409_BC,7.49485002168009,0.0206,-0.0096,-11.9829,1.6144
    3pm0_ab_410_BC,5.05109823902979,-0.1162,-0.5473,-16.7761,2.9174
    3pm0_ab_411_BC,5.1444808443322,-0.0793,-0.5433,-15.4203,1.7152
    3pm0_ab_412_BC,4.85387196432176,-0.1197,-1.6765,-10.3057,2.1272
    3pm0_ab_413_BC,7.25963731050576,-0.0611,-0.4762,-12.4564,1.7866
    3pm0_ab_414_BC,7.07572071393812,-0.0453,-0.4596,-13.5511,1.6085
    3pm0_ab_415_BC,6.95860731484177,-0.063,-0.6386,-13.7172,1.6703
    3pm0_ab_416_BC,7.14874165128092,-0.0052,-0.9729,-13.114,2.2703
    3pm0_ab_417_BC,7.61978875828839,-0.1057,-0.3512,-14.3834,2.2507
    3pm0_ab_418_BC,6.79588001734408,-0.083,-0.2858,-14.4688,2.1151
    3pm0_ab_419_BC,7.0268721464003,-0.0753,-0.0015,-14.4904,2.8154
    3pm0_ab_420_BC,4.4294570601181,-0.0379,-0.0029,-14.6919,2.7005
    3pm0_ab_421_BC,5.76700388960785,-0.0844,-0.5579,-14.0736,2.7767
    3pm0_ab_423_BC,6.82390874094432,0.0018,-0.532,-13.1306,0.9989
    3pm0_ab_424_BC,7.67778070526608,0.0374,-0.4587,-11.763,0.9389
    3pm0_ab_425_BC,8.69897000433602,-0.0443,-0.4536,-10.8309,1.4448
    3pm0_ab_426_BC,5.18708664335714,-0.1075,-0.1074,-13.8503,2.7158
    3pm0_ab_427_BC,7.60205999132796,-0.0603,-1.7048,-11.7615,2.959
    3pm0_ab_428_BC,7.76955107862173,-0.0943,-1.4964,-11.865,2.7824
    3pm0_ab_429_BC,7.61978875828839,-0.1429,-1.5556,-13.0159,3.8381
    3pm0_ab_430_BC,7.60205999132796,-0.0895,-1.4578,-11.3146,2.9308
    3pm0_ab_431_BC,7.53760200210104,-0.0816,-1.3695,-12.4339,3.2984
    3pm0_ab_432_BC,7.32790214206428,-0.1457,-1.5741,-11.9775,3.4976
    3pm0_ab_433_BC,7.11350927482752,-0.2026,-2.1531,-12.3117,4.1178
    3pm0_ab_434_BC,7.10237290870956,-0.3231,-1.6705,-11.9383,3.5993
    3pm0_ab_435_BC,5.55752023093555,-0.2161,-2.1551,-12.9838,4.6685
    3pm0_ab_436_BC,5.35654732351381,-0.1798,-0.9148,-11.5812,2.7804
    3pm0_ab_437_BC,5.20760831050175,-0.141,-0.723,-11.0556,2.2544
    3pm0_ab_438_BC,5.67778070526608,0.0204,-0.3829,-11.3827,0.0631
    3pm0_ab_439_BC,4.27984069659404,-0.261,-1.0709,-15.5548,2.665
    3pm0_ab_444_BC,6.04575749056068,-0.0908,-0.972,-11.036,2.0632
    3pm0_ab_445_BC,5.68613277963085,-0.0859,-0.6076,-11.5881,1.853
    3pm0_ab_446_BC,5.22184874961636,-0.068,-0.583,-12.8608,1.9928
    3pm0_ab_447_BC,5.48148606012211,-0.1069,-0.0021,-14.429,2.6347
    3pm0_ab_448_BC,5.75202673363819,-0.0832,-0.5103,-12.5968,1.9948
    3pm0_ab_451_BC,6.22184874961636,-0.0241,-0.5837,-9.5317,1.1362
    3pm0_ab_452_BC,7.04575749056068,-0.0238,-0.5837,-9.5234,1.1319
    3pm0_ab_453_BC,6.69897000433602,-0.0433,-0.5397,-10.5964,1.7591
    3pm0_ab_454_BC,6.60205999132796,0.0055,-0.9992,-10.6047,1.8406
    3pm0_ab_455_BC,4.70553377383841,-0.0916,-1.5181,-12.5102,3.4161
    3pm0_ab_456_BC,4.45593195564972,-0.1031,-1.0734,-14.2553,3.6359
    3pm0_ab_457_BC,5.30102999566398,-0.1123,-1.0772,-11.8138,2.9166
    3pm0_ab_458_BC,5.22184874961636,-0.0095,-0.4257,-10.4613,2.5064
    3pm0_ab_459_BC,6,0.093,-0.5653,-11.1129,2.0032
    3pm0_ab_460_BC,6.15490195998574,0.0248,-1.9548,-10.9091,2.4601
    3pm0_ab_461_BC,6.30102999566398,0.1271,-1.4212,-10.4479,1.8965
    3pm0_ab_462_BC,5.38721614328026,-0.1184,-0.8472,-14.7992,3.2839
    3pm0_ab_463_BC,5.00436480540245,-0.0787,-1.1483,-13.3799,2.9682
    3pm0_ab_467_BC,5.46852108295774,-0.0639,-0.4082,-11.4333,0.0561
    3pm0_ab_468_BC,6.85387196432176,-0.0617,-1.2691,-12.7439,2.0174
